CITY,lat,lng
Nalgonda,17.05,79.27
Rudarpur,28.9708,79.3972
Thanesar,29.9667,76.8167
Jorhat,26.75,94.22
Hajipur,25.6925,85.2084
Balurghat,25.22,88.76
Dibrugarh,27.48,95
Veraval,20.9,70.37
Shantipur,23.25,88.43
Hindupur,13.83,77.49
Erode,11.3409,77.7171
Beawar,26.1011,74.3203
Kolar,13.1333,78.1333
Soro,21.29,86.69
Sitarganj,28.93,79.7
Habra,22.83,88.63
Nowgong,26.3492,92.6861
Bir,18.9833,75.7667
Etah,27.63,78.67
Narnaul,28.0444,76.1056
Abohar,30.1334,74.2001
Kaithal,29.8015,76.3998
Shillong,25.5744,91.8789
Chhatarpur,24.9177,79.5887
Koiridih,24.18,86.3
Rewari,28.18,76.62
Kumbakonam,10.9602,79.3845
Bhimavaram,16.543,81.523
Dehri,24.91,84.18
Mandsaur,24.03,75.08
Chicacole,18.3,83.9
Mandya,12.5242,76.8958
Bankura,23.25,87.0667
Siwan,26.22,84.36
Khargone,21.8229,75.6139
Raigarh,21.8,83.3
Yelahanka,13.1007,77.5963
Chikmagalur,13.3167,75.7833
Gondia,21.45,80.2
Hassan,13.005,76.1028
Palwal,28.143,77.329
Palghat,10.7792,76.6547
Chittandikavundanur,10.6931,76.7188
Kanchrapara,22.9456,88.4332
Chas,23.63,86.17
Bongaigaon,26.4769,90.5583
Mukerian,31.95,75.62
Hanumangarh,29.5833,74.3167
Mothihari,26.65,84.9167
Alwal,17.5047,78.5038
Hoshangabad,22.7475,77.7274
Khanna,30.7,76.22
Nagda,23.4564,75.4131
Jharsugra,21.85,84.03
Palni,10.45,77.5161
Basirhat,22.6612,88.866
Navadwip,23.4088,88.3657
Guntakal,15.17,77.38
Pithampur,22.6197,75.6933
Halisahar,22.95,88.42
Rishra,22.71,88.35
Patan,23.85,72.1167
Sunam,30.13,75.8
Pali,23.35,81.05
Nandgaon,20.307,74.657
Bhadrakh,21.0545,86.5156
Dimapur,25.92,93.73
Baidyabati,22.79,88.32
Dharmavaram,14.43,77.72
Ghazipur,25.5833,83.5667
Puruliya,23.3333,86.3667
Gudiyattam,12.9476,78.87
Bagaha,27.0992,84.09
Gurdaspur,32.0333,75.4
Satara,17.6833,73.9833
Darjeeling,27.0375,88.2631
Bagalkot,16.1833,75.7
Nokha,27.6,73.42
Gudivada,16.43,80.99
Sopur,34.3,74.47
Phagwara,31.22,75.77
Pudukkottai,10.3833,78.8001
Adilabad,19.6667,78.5333
Narasaraopet,16.25,80.07
Pollachi,10.659,77.008
Barnala,30.37,75.54
Yavatmal,20.4,78.1333
Chittaurgarh,24.8894,74.6239
Kovilpatti,9.1744,77.8688
Bansbaria,22.97,88.4
Kaikkudi,9.893,78.7313
Osmanabad,18.1667,76.05
Sahibganj,25.25,87.65
Balangir,20.72,83.48
Rajpura,30.484,76.594
Madhavaram,13.1482,80.2314
Champdani,22.8,88.37
Mahasamund,21.11,82.1
Shujalpur,23.4,76.72
Khardah,22.72,88.38
Nawada,24.88,85.53
Muktsar,30.4743,74.5166
Betul Bazar,21.92,77.9
Ferozepore,30.9166,74.6
Bangaon,23.0435,88.8318
Datia,25.67,78.47
Sehore,23.2,77.08
Sitamarhi,26.6,85.48
Mungeli,22.07,81.68
Tadpatri,14.92,78.02
Islamabad,33.73,75.15
Jalpaiguri,26.5167,88.7333
Gharbara,28.4962,77.536
Shamli,29.45,77.32
Suriapet,17.1415,79.6236
Shikohabad,27.1,78.6
Kishanganj,26.0794,87.9372
Ranibennur,14.6167,75.6167
Jamalpur,25.3,86.5
Nautanwa,27.43,83.42
Gangawati,15.43,76.53
Ballia,25.7604,84.1471
Mirialguda,16.8667,79.5833
Makrana,27.05,74.72
Sheopur,25.67,76.7
Tezpur,26.63,92.8
Kurichchi,10.9609,76.9738
Tadepallegudem,16.815,81.526
Brajarajnagar,21.8167,83.9167
Kalyani,22.975,88.4344
Negapatam,10.7667,79.8333
Buxar,25.5605,83.9805
Bundi,25.4383,75.6372
Amaravati,16.5131,80.5165
Rishikesh,30.1083,78.2972
Bhadreswar,22.82,88.35
Sundarnagar,31.53,76.88
Seoni,22.08,79.53
Kapurthala,31.38,75.38
Aurangabad,24.7,84.35
Chilakalurupet,16.0892,80.1672
Vasco Da Gama,15.3981,73.8111
Dhamtari,20.71,81.55
Sujangarh,27.7,74.47
Jeypore,18.8563,82.5716
Port Blair,11.6683,92.7378
Chanwari,23.2,82.35
Gangtok,27.33,88.62
Dhulian,24.68,87.97
Kohima,25.67,94.1
Marmagao,15.402,73.8
